user_id,category,calories,ingredients,preference
0,海鮮,低熱量,master,3
0,素食,高熱量,master,5
0,素食,高熱量,large,5
0,素食,低熱量,large,5
0,豬肉,低熱量,medium,5
0,牛肉,高熱量,master,3
0,素食,高熱量,master,5
0,豬肉,低熱量,master,3
0,海鮮,低熱量,small,4
0,牛肉,低熱量,master,4
0,海鮮,高熱量,small,3
0,牛肉,高熱量,medium,5
0,豬肉,高熱量,small,3
0,雞肉,高熱量,medium,5
0,牛肉,高熱量,master,3
0,海鮮,高熱量,master,2
0,豬肉,低熱量,medium,5
0,牛肉,高熱量,large,5
0,雞肉,高熱量,medium,5
0,雞肉,高熱量,large,5
0,素食,低熱量,small,5
0,素食,高熱量,small,5
0,海鮮,高熱量,small,3
0,牛肉,低熱量,master,4
0,牛肉,高熱量,small,4
0,素食,高熱量,large,5
0,牛肉,高熱量,small,4
0,牛肉,高熱量,medium,5
0,雞肉,高熱量,medium,5
0,素食,低熱量,master,5
0,豬肉,低熱量,medium,5
0,素食,低熱量,large,5
0,豬肉,高熱量,small,3
0,雞肉,高熱量,master,4
0,海鮮,高熱量,small,3
0,牛肉,低熱量,small,5
0,雞肉,高熱量,large,5
0,牛肉,高熱量,medium,5
0,海鮮,低熱量,medium,5
0,海鮮,高熱量,small,3
0,雞肉,低熱量,master,5
0,海鮮,低熱量,medium,5
0,豬肉,低熱量,master,3
0,海鮮,高熱量,medium,4
0,牛肉,高熱量,master,3
0,牛肉,高熱量,large,5
0,牛肉,高熱量,master,3
0,牛肉,高熱量,large,5
0,豬肉,高熱量,large,5
0,素食,高熱量,master,5
0,雞肉,低熱量,large,5
0,牛肉,高熱量,small,4
0,海鮮,低熱量,large,5
0,牛肉,高熱量,medium,5
0,海鮮,高熱量,master,2
0,海鮮,高熱量,small,3
0,牛肉,低熱量,master,4
0,豬肉,低熱量,medium,5
0,海鮮,低熱量,medium,5
0,海鮮,低熱量,medium,5
0,牛肉,高熱量,large,5
0,海鮮,低熱量,large,5
0,海鮮,高熱量,master,2
0,牛肉,高熱量,master,3
0,牛肉,低熱量,small,5
0,雞肉,低熱量,small,5
0,豬肉,低熱量,master,3
0,豬肉,低熱量,large,5
0,海鮮,低熱量,medium,5
0,豬肉,低熱量,master,3
0,海鮮,低熱量,small,4
0,雞肉,低熱量,large,5
0,牛肉,高熱量,master,3
0,牛肉,低熱量,master,4
0,牛肉,低熱量,large,5
0,豬肉,高熱量,master,2
0,雞肉,低熱量,large,5
0,豬肉,高熱量,medium,4
0,豬肉,高熱量,large,5
0,雞肉,低熱量,large,5
0,雞肉,高熱量,large,5
0,雞肉,高熱量,master,4
0,雞肉,高熱量,master,4
0,牛肉,高熱量,large,5
0,素食,低熱量,master,5
0,素食,高熱量,small,5
0,雞肉,低熱量,small,5
0,素食,高熱量,master,5
0,素食,高熱量,master,5
0,雞肉,高熱量,large,5
0,素食,高熱量,medium,5
0,豬肉,低熱量,master,3
0,海鮮,低熱量,small,4
0,海鮮,高熱量,large,5
0,雞肉,高熱量,master,4
0,牛肉,低熱量,small,5
0,雞肉,高熱量,small,5
0,牛肉,高熱量,medium,5
0,海鮮,高熱量,large,5
0,雞肉,低熱量,large,5
1,牛肉,低熱量,small,5
1,雞肉,高熱量,small,5
1,海鮮,低熱量,small,5
1,雞肉,低熱量,master,5
1,牛肉,高熱量,small,5
1,豬肉,高熱量,large,4
1,豬肉,低熱量,master,5
1,素食,高熱量,large,2
1,雞肉,低熱量,small,5
1,雞肉,高熱量,medium,5
1,素食,低熱量,small,5
1,素食,低熱量,large,3
1,素食,低熱量,large,3
1,牛肉,低熱量,master,5
1,雞肉,低熱量,medium,5
1,牛肉,低熱量,master,5
1,素食,高熱量,large,2
1,雞肉,高熱量,small,5
1,牛肉,高熱量,medium,5
1,牛肉,低熱量,small,5
1,素食,低熱量,small,5
1,雞肉,低熱量,medium,5
1,素食,低熱量,master,4
1,雞肉,高熱量,small,5
1,豬肉,高熱量,large,4
1,海鮮,低熱量,small,5
1,海鮮,高熱量,medium,5
1,海鮮,高熱量,medium,5
1,素食,低熱量,medium,5
1,豬肉,高熱量,master,5
1,雞肉,低熱量,small,5
1,牛肉,高熱量,master,5
1,雞肉,低熱量,master,5
1,牛肉,低熱量,medium,5
1,雞肉,低熱量,medium,5
1,豬肉,低熱量,master,5
1,牛肉,高熱量,small,5
1,素食,低熱量,large,3
1,雞肉,低熱量,master,5
1,雞肉,低熱量,small,5
1,牛肉,高熱量,medium,5
1,素食,低熱量,medium,5
1,素食,高熱量,small,4
1,豬肉,低熱量,large,5
1,素食,高熱量,medium,5
1,素食,高熱量,medium,5
1,素食,低熱量,medium,5
1,海鮮,高熱量,small,4
1,豬肉,低熱量,master,5
1,雞肉,低熱量,medium,5
1,牛肉,低熱量,master,5
1,雞肉,高熱量,large,3
1,豬肉,高熱量,medium,5
1,牛肉,低熱量,medium,5
1,豬肉,低熱量,large,5
1,素食,高熱量,medium,5
1,牛肉,低熱量,master,5
1,素食,低熱量,small,5
1,雞肉,低熱量,master,5
1,雞肉,高熱量,small,5
1,牛肉,高熱量,small,5
1,牛肉,高熱量,master,5
1,豬肉,低熱量,master,5
1,豬肉,低熱量,master,5
1,素食,低熱量,master,4
1,牛肉,高熱量,large,5
1,雞肉,低熱量,medium,5
1,豬肉,低熱量,small,5
1,豬肉,低熱量,master,5
1,雞肉,低熱量,master,5
1,豬肉,高熱量,master,5
1,素食,高熱量,large,2
1,牛肉,低熱量,master,5
1,雞肉,高熱量,master,4
1,牛肉,高熱量,master,5
1,豬肉,低熱量,medium,5
1,豬肉,低熱量,large,5
1,雞肉,高熱量,master,4
1,素食,低熱量,small,5
1,海鮮,高熱量,small,4
1,雞肉,低熱量,small,5
1,海鮮,高熱量,large,2
1,海鮮,低熱量,large,3
1,素食,高熱量,small,4
1,海鮮,高熱量,master,3
1,海鮮,高熱量,large,2
1,素食,低熱量,small,5
1,海鮮,高熱量,small,4
1,海鮮,高熱量,master,3
1,海鮮,低熱量,medium,5
1,雞肉,低熱量,large,4
1,雞肉,高熱量,master,4
1,雞肉,高熱量,small,5
1,素食,低熱量,small,5
1,豬肉,低熱量,master,5
1,海鮮,低熱量,large,3
1,海鮮,低熱量,medium,5
1,素食,低熱量,medium,5
1,海鮮,高熱量,small,4
1,雞肉,低熱量,large,4
2,海鮮,低熱量,small,5
2,海鮮,低熱量,small,5
2,海鮮,低熱量,master,5
2,素食,高熱量,master,5
2,雞肉,高熱量,large,2
2,牛肉,高熱量,medium,5
2,海鮮,低熱量,large,4
2,豬肉,低熱量,small,5
2,海鮮,高熱量,small,5
2,豬肉,高熱量,small,5
2,素食,低熱量,small,5
2,豬肉,低熱量,master,5
2,牛肉,高熱量,small,5
2,雞肉,高熱量,master,5
2,豬肉,低熱量,master,5
2,豬肉,高熱量,small,5
2,雞肉,高熱量,small,4
2,牛肉,高熱量,medium,5
2,海鮮,低熱量,large,4
2,豬肉,低熱量,small,5
2,雞肉,低熱量,medium,4
2,素食,低熱量,medium,4
2,雞肉,低熱量,large,3
2,素食,低熱量,master,5
2,牛肉,低熱量,small,5
2,海鮮,高熱量,large,3
2,雞肉,高熱量,small,4
2,豬肉,高熱量,medium,5
2,牛肉,高熱量,medium,5
2,雞肉,高熱量,master,5
2,豬肉,高熱量,medium,5
2,雞肉,高熱量,medium,3
2,素食,低熱量,large,3
2,雞肉,低熱量,small,5
2,雞肉,高熱量,small,4
2,雞肉,高熱量,large,2
2,牛肉,低熱量,master,5
2,雞肉,高熱量,small,4
2,豬肉,高熱量,medium,5
2,素食,低熱量,small,5
2,素食,高熱量,medium,3
2,雞肉,低熱量,master,5
2,牛肉,高熱量,large,5
2,牛肉,低熱量,small,5
2,豬肉,低熱量,large,5
2,雞肉,低熱量,small,5
2,素食,高熱量,medium,3
2,牛肉,低熱量,large,5
2,雞肉,高熱量,small,4
2,牛肉,高熱量,medium,5
2,牛肉,高熱量,large,5
2,素食,高熱量,large,2
2,海鮮,低熱量,small,5
2,豬肉,低熱量,small,5
2,豬肉,高熱量,small,5
2,素食,高熱量,medium,3
2,牛肉,低熱量,small,5
2,雞肉,高熱量,large,2
2,牛肉,低熱量,large,5
2,素食,高熱量,small,4
2,豬肉,高熱量,small,5
2,牛肉,低熱量,master,5
2,豬肉,高熱量,large,4
2,雞肉,低熱量,medium,4
2,豬肉,高熱量,master,5
2,豬肉,高熱量,small,5
2,海鮮,高熱量,small,5
2,海鮮,低熱量,large,4
2,海鮮,高熱量,small,5
2,豬肉,高熱量,medium,5
2,素食,高熱量,large,2
2,豬肉,高熱量,small,5
2,素食,低熱量,large,3
2,素食,低熱量,small,5
2,海鮮,高熱量,small,5
2,牛肉,低熱量,small,5
2,雞肉,高熱量,medium,3
2,海鮮,高熱量,medium,4
2,海鮮,高熱量,large,3
2,牛肉,低熱量,small,5
2,雞肉,低熱量,small,5
2,豬肉,低熱量,medium,5
2,豬肉,低熱量,small,5
2,海鮮,低熱量,medium,5
2,雞肉,低熱量,small,5
2,海鮮,低熱量,large,4
2,素食,低熱量,small,5
2,海鮮,低熱量,small,5
2,海鮮,高熱量,master,5
2,豬肉,低熱量,medium,5
2,豬肉,低熱量,small,5
2,豬肉,低熱量,small,5
2,素食,低熱量,master,5
2,豬肉,低熱量,master,5
2,雞肉,低熱量,medium,4
2,牛肉,低熱量,master,5
2,雞肉,低熱量,large,3
2,雞肉,低熱量,master,5
2,豬肉,低熱量,large,5
2,牛肉,低熱量,medium,5
3,雞肉,低熱量,medium,5
3,牛肉,低熱量,large,3
3,豬肉,低熱量,large,5
3,素食,高熱量,master,5
3,雞肉,高熱量,medium,5
3,雞肉,高熱量,large,5
3,豬肉,低熱量,small,4
3,豬肉,高熱量,master,5
3,海鮮,高熱量,small,5
3,素食,高熱量,medium,5
3,素食,低熱量,medium,5
3,牛肉,低熱量,medium,5
3,海鮮,高熱量,master,5
3,海鮮,高熱量,large,5
3,海鮮,高熱量,master,5
3,海鮮,高熱量,small,5
3,素食,低熱量,master,4
3,素食,低熱量,small,2
3,海鮮,低熱量,master,5
3,牛肉,低熱量,large,3
3,雞肉,高熱量,small,4
3,雞肉,高熱量,medium,5
3,牛肉,高熱量,medium,5
3,海鮮,低熱量,master,5
3,素食,高熱量,medium,5
3,雞肉,低熱量,small,3
3,豬肉,低熱量,medium,5
3,豬肉,高熱量,large,5
3,牛肉,高熱量,large,4
3,海鮮,高熱量,master,5
3,雞肉,低熱量,small,3
3,海鮮,高熱量,large,5
3,雞肉,低熱量,large,4
3,牛肉,高熱量,small,3
3,牛肉,低熱量,medium,5
3,豬肉,低熱量,medium,5
3,海鮮,高熱量,master,5
3,豬肉,低熱量,medium,5
3,海鮮,低熱量,small,5
3,豬肉,高熱量,large,5
3,素食,低熱量,medium,5
3,素食,高熱量,master,5
3,素食,低熱量,medium,5
3,素食,高熱量,small,3
3,雞肉,高熱量,master,5
3,素食,低熱量,medium,5
3,牛肉,低熱量,master,4
3,牛肉,低熱量,small,2
3,雞肉,低熱量,large,4
3,素食,低熱量,small,2
3,素食,高熱量,small,3
3,素食,低熱量,small,2
3,豬肉,高熱量,small,5
3,海鮮,高熱量,large,5
3,豬肉,低熱量,large,5
3,海鮮,高熱量,master,5
3,素食,高熱量,medium,5
3,素食,高熱量,large,4
3,豬肉,高熱量,large,5
3,豬肉,低熱量,medium,5
3,海鮮,高熱量,large,5
3,牛肉,低熱量,small,2
3,海鮮,低熱量,small,5
3,豬肉,高熱量,medium,5
3,豬肉,低熱量,master,5
3,雞肉,低熱量,master,5
3,豬肉,低熱量,medium,5
3,雞肉,高熱量,medium,5
3,牛肉,低熱量,small,2
3,海鮮,低熱量,master,5
3,海鮮,低熱量,large,5
3,雞肉,高熱量,small,4
3,海鮮,低熱量,medium,5
3,豬肉,高熱量,master,5
3,素食,高熱量,large,4
3,雞肉,高熱量,large,5
3,海鮮,高熱量,small,5
3,雞肉,高熱量,master,5
3,雞肉,高熱量,master,5
3,素食,低熱量,medium,5
3,豬肉,高熱量,master,5
3,雞肉,低熱量,master,5
3,海鮮,低熱量,small,5
3,牛肉,高熱量,master,5
3,雞肉,低熱量,large,4
